#nrNodes nrCollisions nrTransmissions OverallEnergy
50 574 249856 5987.91339014
100 2476 499746 11793.0016493
200 9773 1001559 24167.5153999
300 23767 1500014 37257.7527053
400 42051 1998276 49435.5116705
500 65924 2500219 62666.7291896
600 98696 2999933 77376.4905206
700 124227 3499949 84890.9611682
800 143150 3999105 90989.5453329
900 205170 4503208 110309.828839
1000 222252 4999759 114619.133933
1200 384285 5997824 154704.539943
1400 473865 7002489 173046.468257
1600 590068 7998987 191452.434778
