#nrNodes DER
50 0.970700891608
100 0.939789049239
200 0.884889165154
300 0.830675579614
400 0.781387090193
500 0.741790634316
600 0.701222946993
700 0.660975205099
800 0.620939284504
900 0.584460423329
1000 0.554281563443
1200 0.502531867034
1400 0.452518207228
1600 0.41184758174
