#nrNodes nrCollisions nrTransmissions OverallEnergy
50 559 249577 5780.81162419
100 2374 500036 13444.2068429
200 10535 1001910 27857.7806285
300 21635 1498049 39621.0032909
400 33757 1999656 49041.5981215
500 59411 2500440 64624.157098
600 80788 2999554 75799.7458099
700 119779 3499739 91462.2340093
800 153172 3999677 105473.654466
900 192550 4500424 118715.63926
1000 271355 4998454 141896.667686
1200 383560 6002010 169650.499654
1400 452450 7002466 183271.099537
1600 585545 8001135 210155.782105
