#nrNodes DER
50 0.905328718613
100 0.822473606639
200 0.678431486286
300 0.571037336579
400 0.472924386663
500 0.401704356705
600 0.341528074554
700 0.291598566485
800 0.259163703205
900 0.226421225318
1000 0.205413973842
1200 0.170098344197
1400 0.136185422671
1600 0.107101411907
