#nrNodes nrCollisions nrTransmissions OverallEnergy
50 194 250415 438.44657568
100 834 499406 867.45219648
200 3543 999966 1724.34086016
300 7486 1500101 2732.09137517
400 13696 2000944 3612.18772742
500 20712 2503478 4528.28417971
600 30701 3001157 5498.15951539
700 41625 3499215 6274.90848154
800 53618 3998196 7287.01556909
900 67406 4501840 8228.53931674
1000 83537 4996246 8915.47549094
1200 120870 6003887 10810.7713382
1400 164334 7001093 12628.834305
1600 215935 7999930 14146.0617679
