#nrNodes nrCollisions nrTransmissions OverallEnergy
50 177 250210 597.163953408
100 799 499439 1184.17048781
200 3145 999411 2422.68291302
300 6978 1501789 3614.82224717
400 12666 1998669 4711.04031974
500 19953 2499741 5783.17435238
600 28240 3002127 7173.83329766
700 37108 3502697 8307.42299904
800 49335 4003324 9485.97185818
900 62949 4497855 10783.3917396
1000 78248 4998482 12150.2340242
1200 110672 6002210 14180.0682862
1400 151372 7000956 16527.315231
1600 197056 8000585 18970.4774899
